category,name,twitter_username
$40,Hart House Restaurant,harthouserest
$40,Homer Street Cafe and Bar,homerstcafebar
$40,House Special Vietnamese,housespecialvan
$40,Italian Kitchen (The),Glowbal_Group
$40,Joe Fortes Seafood and Chop House,joefortesvan
$40,Juniper,junipercraft
$40,Kamei Royale Japanese Restaurant,kameiroyale
$40,Keg Steakhouse + Bar - Alberni (The),thekeg
$40,Keg Steakhouse + Bar - Burnaby (The),thekeg
$40,Keg Steakhouse + Bar - Coquitlam (The),thekeg
$40,Keg Steakhouse + Bar - Dunsmuir (The),thekeg
$40,Keg Steakhouse + Bar - Granville Island (The),thekeg
$40,Keg Steakhouse + Bar - Langley (The),thekeg
$40,Keg Steakhouse + Bar - Maple Ridge (The),thekeg
$40,Keg Steakhouse + Bar - Morgan Creek (The),thekeg
$40,Keg Steakhouse + Bar - Richmond South (The),thekeg
$40,Keg Steakhouse + Bar - Scott Road (The),thekeg
$40,Keg Steakhouse + Bar - Yaletown (The),thekeg
$40,Kobe Japanese Steak House,kobevancity
$40,La Buca,labuca
$40,La Pentola - Opus Hotel,la_pentola
$40,La Terrazza,laterrazza
$40,L'Abattoir Restaurant,labattoir_van
$40,LIFT Bar Grill View,liftbarandgrill
$40,MARKET by Jean-Georges,marketjg_van
$40,Minami Restaurant,minamiyaletown
$40,Mission Kits Restaurant,missionkits
$40,Mott 32,mott32
$40,Notch 8 Restaurant & Bar- The Fairmont Hotel Vancouver,fairmontvan
$40,Observatory - Grouse Mountain Resorts (The),grousemountain
$40,Oceans 999 - Pan Pacific Vancouver,panpacificvan
$40,Pidgin,pidginvancouver
$40,Poor Italian Ristorante,thepooritalian
$40,Provence Marinaside,provencemarina
$40,Reflect Social Dining + Lounge,
$40,Ritual,ritualyvr
$40,Salmon House on the Hill,salmon_house
$40,Salmon n' Bannock Bistro,snbvancouver
$40,Shaughnessy Restaurant,shaughnessy_eat
$40,Sorella,
$40,Steel Toad Brewpub & Dining Hall,steeltoadbeer
$40,Tableau Bar Bistro - Loden Hotel,tableaubistro
$40,The Greek by Anatoli,thegreekyt
$40,Top of Vancouver Revolving Restaurant,
$40,Tramonto - River Rock Casino Resort,riverrockcasino
$40,Vancouver Fish Company Restaurant & Bar (The),vanfishco
$40,Vij's,eatdrinkvijs
$40,West Oak Restaurant,westoakvan
$40,West Restaurant + Bar,westrestaurant
$40,Wild Fig (The),ExecHotelCoq
$40,Wildebeest,WildebeestYVR
$40,WildTale Coastal Grill,wildtalevan
$40,Yaletown L'Antipasto,lantipasto
$40,YEW seafood + bar,fsvancouver
$40,Zen Japanese Restaurant,zenjapanese
$20,1927 Lobby Lounge,rwhotelgeorgia
$20,Afghan Horsemen Restaurant,
$20,AllStar Wings & Ribs,allstarwings
$20,American Cheesesteak Co. (The),thecheesesteak
$20,Banana Leaf Malaysian Cuisine in Kitsilano,bananaleafvan
$20,Banana Leaf Malaysian Cuisine on Broadway,bananaleafvan
$20,Banana Leaf Malaysian Cuisine on Davie,bananaleafvan
$20,Banana Leaf Malaysian Cuisine on Denman,bananaleafvan
$20,Banana Leaf Malaysian Cuisine on Robson,bananaleafvan
$20,Big Rock Urban Brewery & Eatery,bigrockurbanyvr
$20,Bimini Public House (The),thebiminipub
$20,Blackbird Public House & Oyster Bar (The),TheBlackbirdBar
$20,Brasserie Bistro - Coast Plaza Hotel & Suites (The),brasseriebistro
$20,Butcher & Bullock,ButcherAndBull
$20,Cannibal Cafe (Commercial Drive),thecannibalcafe
$20,Cazba Restaurant,cazbaresto
$20,Cheshire Cheese (The),
$20,Cinema Public House,cinemapub
$20,Clough Club,CloughClub
$20,Deepwater Micro Eatery,
$20,District Brasserie (The),
$20,Dubh Linn Gate,DubhLinnGateVan
$20,Fish Shack (The),glowbal_group
$20,Flying Beaver Bar & Grill (The),flyingbeaverbar
$20,Granville Room,granvilleroom
$20,Gyoza Bar Ltd.,gyozabarvan
$20,Hurricane Grill - North Vancouver,hurricanegrill
$20,Hurricane Grill - Yaletown,hurricanegrill
$20,Lamplighter Public House (The),lamplighter_pub
$20,Las Margaritas Restaurante Y Cantina,lasmargaritasbc
$20,Library Square Public House,librarysq
$20,Lickerish Restaurant & Lounge,lickerishlounge
$20,Lombardo's Restaurant,lombardospizza
$20,Lucky Taco,
$20,Mahony & Sons - Stamps Landing,mahonyandsons
$20,Mahony & Sons Public House - Coal Harbour,mahonyandsons
$20,Match Eatery and Public House - Langley,MatchPubLangley
$20,Match Eatery and Public House - New West,MatchPubNewWest
$20,Max’s Restaurant – Cuisine of the Philippines,maxrestaurantna
$20,New Oxford (The),newoxfordvan
$20,Nonna's Table,nonnas_table
$20,Old Spaghetti Factory (The),OSFCanada
$20,Park at English Bay - Best Western Plus Sands Hotel (The),bwsandshotel
$20,Red Card Sports Bar + Eatery - Moda Hotel,RedCard_
$20,Relish Public House,relishthepub
$20,Rocky Mountain Flatbread Co. - Kitsilano,flatbreadco
$20,Rocky Mountain Flatbread Co. - Main,flatbreadco
$20,Romer's - Kitsilano,romersburger
$20,Romer's - Port Moody,romersburger
$20,Romer's - River District,romersburger
$20,Romer's - Yaletown,romersburger
$20,Spicy6 Indian Cuisine,
$20,Stages Bistro & Lounge - Holiday Inn Vancouver Centre,hivancouver
$20,Tap & Barrel - Convention Centre,tapandbarrel
$20,Tap & Barrel - Olympic Village,tapandbarrel
$20,Tap & Barrel - Shipyards,tapandbarrel
$20,TAPshack - Burrard Bridge,tapshackeatery
$20,TAPshack - Coal Harbour,tapshackeatery
$20,Three Brits Public House (The),three-brits
$20,Timber,timbervancouver
$20,Troll's Restaurant,trollswestvan
$20,Vaades Indian Restaurant,vaadesvancouver
$20,Village Taphouse,villagetaphouse
$30,ABODE Restaurant,aboderestaurant
$30,American Grille - Vancouver Airport Marriott,GrilleYVR
$30,Baci Ristorante,baci_ristorante
$30,Bay Moorings Restaurant,
$30,Bayside Lounge - Best Western Plus Sands Hotel,bwsandshotel
$30,Bella Gelateria & Pizzeria - Yaletown,bellagelateria
$30,Bellaggio Cafe - Downtown,BellaggioCafe1
$30,Bellaggio Wine Bar - Convention Centre,BellaggioConv
$30,Belmont Bar,BelmontBar
$30,Boathouse Restaurant - English Bay (The),BoathouseBC
$30,Boathouse Restaurant - Kitsilano (The),BoathouseBC
$30,Boathouse Restaurant - New Westminster (The),BoathouseBC
$30,Boathouse Restaurant - Port Moody (The),BoathouseBC
$30,Boathouse Restaurant - Richmond (The),BoathouseBC
$30,Boathouse Restaurant - White Rock (The),BoathouseBC
$30,Bogart's Bar & Restaurant - Hampton Inn & Suites,bogartsonrobson
$30,Bottleneck Bar & Grill,bottleneckvan
$30,Bravo Cucina Ristorante,bravo_italian
$30,Bufala,bufalayvr
$30,Burnaby Mountain Clubhouse,foodburnaby
$30,Burnaby Riverway Clubhouse,foodburnaby
$30,C|Prime Italian Steak & Wine,cprimesteak
$30,Cactus Club Cafe - Ash,cactusclubcafe
$30,Cactus Club Cafe - Bentall,cactusclubcafe
$30,Cactus Club Cafe - Byrne Road,cactusclubcafe
$30,Cactus Club Cafe - Coal Harbour,cactusclubcafe
$30,Cactus Club Cafe - English Bay,cactusclubcafe
$30,Cactus Club Cafe - Kingsway,cactusclubcafe
$30,Cactus Club Cafe - North Burnaby,cactusclubcafe
$30,Cactus Club Cafe - North Vancouver,cactusclubcafe
$30,Cactus Club Cafe - Park Royal,cactusclubcafe
$30,Cactus Club Cafe - Robson,cactusclubcafe
$30,Cactus Club Cafe - West Broadway,cactusclubcafe
$30,Cactus Club Cafe - Yaletown,cactusclubcafe
$30,Campagnolo Restaurant,campagnolomain
$30,Campagnolo Roma,camproma
$30,Cardero's Restaurant,carderos_van
$30,Carthage Cafe,
$30,Cascade Room (The),thecascaderoom
$30,Catch 122 Cafe & Bistro,catch122
$30,Catch Kitchen + Bar,catchsteveston
$30,CAVU - Hilton Vancouver Airport Hotel,cavukitchenbar
$30,Charcoal & Woodz - Holiday Inn Surrey Cloverdale,charcoalwoodz
$30,Chewies Steam & Oyster Bar - Coal Harbour,chewiesoysters
$30,Chewies Steam & Oyster Bar - Kitsilano,chewiesoysters
$30,Chicha Restaurant,chichavancouver
$30,Chutney Villa,chutneyvilla
$30,Cibo Trattoria - Moda Hotel,cibotrattoria
$30,Cloud 9 Revolving Restaurant - Empire Landmark Hotel,
$30,"Currents at Bayshore - The Westin Bayshore, Vancouver",westinbayshore
$30,Curve Lounge - River Rock Casino Resort,riverrockcasino
$30,Distillery Bar + Kitchen (The),ytdistilling
$30,Dunn's Famous Restaurant BC,DunnsFamousBC
$30,Ebisu on Robson,ebisuvancouver
$30,Edible Canada,ediblecanada
$30,Exile Bistro,exilebistro
$30,Fable Kitchen,fablekitchen
$30,Feast Neighbourhood Table,feastdining
$30,Fishworks,fishworkslolo
$30,Forage,forageVancouver
$30,Frankie's Italian Kitchen & Bar,frankiesitalia1
$30,Gramercy Grill,gramercygrill
$30,Guu Garden,guugarden
$30,Gyu-Kaku Japanese BBQ - Downtown,gyukakujbbq
$30,Gyu-Kaku Japanese BBQ Dining - Broadway,gyukakujbbq
$30,Hapa Izakaya - Coal Harbour,hapaizakaya
$30,Hapa Izakaya - Yaletown,hapaizakaya
$30,Harold's Bistro & Bar - Sheraton Vancouver Airport,sheratonyvr
$30,Hendrick's,
$30,Horizons Restaurant,horizonstweets
$30,Hub Restaurant - Denman,hubrestaurant
$30,Hub Restaurant - Yaletown,hubrestaurant
$30,Kamei Baru,
$30,Kaya Malay Bistro,kayamalay
$30,La Cigale French Bistro,LaCigaleBist
$30,Lobby - The Pinnacle Hotel at the Pier (The),pinnaclepier
$30,Maenam,maenam
$30,Mangia e Scappa,
$30,Masa Japanese Restaurant,
$30,Mosaic Bar & Grille - Hyatt Regency Vancouver,hyattvancouver
$30,Moxie's Grill & Bar – Abbotsford,moxies_official
$30,Moxie's Grill & Bar - Davie,moxies_official
$30,Moxie's Grill & Bar - Guilford,moxies_official
$30,Moxie's Grill & Bar - Langley,moxies_official
$30,Moxie's Grill & Bar - Richmond,moxies_official
$30,Nammos Estiatorio,nammosvan
$30,Oakwood Canadian Bistro (The),theoakwoodkits
$30,Olive & Anchor,oliveandanchor
$30,Ouisi Bistro,theouisi
$30,p2b bistro & bar - Pinnacle Vancouver Harbourfront Hotel,p2bbistro
$30,Pat Quinn's Restaurant & Bar,patquinns
$30,Per Se Social Corner,social_corner_
$30,Personas,PersonasGV
$30,Pier 7 Restaurant,pier7restaurant
$30,PIER 73 Restaurant - Pacific Gateway Hotel at Vancouver Airport,pier_73
$30,Pink Elephant Thai Restaurant Ltd.,pinkethai
$30,Portobello Ristorante,
$30,Prestons - Coast Coal Harbour Hotel,prlvancouver
$30,Reef Restaurant on Main (The),thereef
$30,Reef Restaurant on The Drive (The),thereef
$30,Royal Dinette,RoyalDinette
$30,Sai Woo,doyousaiwoo
$30,Saloniki Greek Taverna,
$30,Sandbar Seafood Restaurant (The),the_sandbar
$30,Seasons in the Park,SeasonsInQEPark 
$30,Shady Island Seafood Bar & Grill,
$30,Showcase Restaurant & Bar - Marriott Pinnacle Downtown,
$30,Siena Restaurant,sienavancouver
$30,Spacca Napoli Pizzeria,Spacca_NapoliPM
$30,Spencer's - Delta Vancouver Suites Hotel,deltavancouver
$30,Sylvia Restaurant & Lounge - Sylvia Hotel,sylviahotel
$30,Teahouse Restaurant (The),the_teahouse
$30,Ten Ten Tapas,tententapas
$30,The Yale Saloon,yalesaloon
$30,Tivoli's Restaurant,ExecutiveCorp
$30,Torafuku,torafukuyvr
$30,Trattoria - Kitsilano,Glowbal_Group
$30,Trattoria Italian Kitchen - Park Royal,Glowbal_Group
$30,Urban Thai Bistro,urbanthai
$30,UVA Wine & Cocktail Bar - Moda Hotel,uvavancouver
$30,Vij's Rangoli,vijs_rangoli
$30,Village Resto,
$30,Village Table (The),
$30,Water St. Cafe,
$30,Yaletown Brewing Co.,ytbrewing
$30,Yokohama Teppanyaki Japanese Restaurant,
$30,Zend Conscious Lounge,zendlounge
